"candidate","trump_mentions","words_spoken","attacks_on","attacked_by","airtime_min","age","sex","pre_debate","post_debate","pct_change","point_difference"
"Harris",11,"2,256",6,0,12.4,55,"F",5,7,40,2
"Yang",9,"1,791",5,1,8.5,44,"M",2,2,0,0
"Buttigieg",8,"2,266",12,2,13,37,"M",5,5,0,0
"Klobuchar",7,"2,559",14,0,13.3,59,"F",1,2,100,1
"Gabbard",6,"1,497",3,1,8.4,38,"F",0,1,100,1
"Warren",5,"3,695",8,16,22.8,70,"F",28,22,-21.4285714285714,-6
"Booker",4,"2,267",4,0,11.7,50,"M",1,2,100,1
"Sanders",4,"2,085",9,2,13.1,78,"M",15,17,13.3333333333333,2
"Biden",3,"3,064",12,2,16.7,77,"M",25,32,28,7
"Castro",3,"1,666",6,0,8.4,45,"M",1,1,0,0
