"","name","date","hits","geo"
"1","amy klobuchar",2019-02-03,13,"US-PA"
"2","amy klobuchar",2019-02-10,84,"US-PA"
"3","amy klobuchar",2019-02-17,38,"US-PA"
"4","amy klobuchar",2019-02-24,9,"US-PA"
"5","amy klobuchar",2019-03-03,7,"US-PA"
"6","amy klobuchar",2019-03-10,5,"US-PA"
"7","amy klobuchar",2019-03-17,9,"US-PA"
"8","amy klobuchar",2019-03-24,4,"US-PA"
"9","amy klobuchar",2019-03-31,6,"US-PA"
"10","amy klobuchar",2019-04-07,2,"US-PA"
"11","amy klobuchar",2019-04-14,3,"US-PA"
"12","amy klobuchar",2019-04-21,13,"US-PA"
"13","amy klobuchar",2019-04-28,7,"US-PA"
"14","amy klobuchar",2019-05-05,5,"US-PA"
"15","amy klobuchar",2019-05-12,3,"US-PA"
"16","amy klobuchar",2019-05-19,2,"US-PA"
"17","amy klobuchar",2019-05-26,2,"US-PA"
"18","amy klobuchar",2019-06-02,3,"US-PA"
"19","amy klobuchar",2019-06-09,3,"US-PA"
"20","amy klobuchar",2019-06-16,2,"US-PA"
"21","amy klobuchar",2019-06-23,18,"US-PA"
"22","amy klobuchar",2019-06-30,9,"US-PA"
"23","amy klobuchar",2019-07-07,5,"US-PA"
"24","amy klobuchar",2019-07-14,3,"US-PA"
"25","amy klobuchar",2019-07-21,3,"US-PA"
"26","amy klobuchar",2019-07-28,13,"US-PA"
"27","amy klobuchar",2019-08-04,5,"US-PA"
"28","amy klobuchar",2019-08-11,3,"US-PA"
"29","amy klobuchar",2019-08-18,4,"US-PA"
"30","amy klobuchar",2019-08-25,5,"US-PA"
"31","amy klobuchar",2019-09-01,4,"US-PA"
"32","amy klobuchar",2019-09-08,17,"US-PA"
"33","amy klobuchar",2019-09-15,14,"US-PA"
"34","amy klobuchar",2019-09-22,4,"US-PA"
"35","amy klobuchar",2019-09-29,7,"US-PA"
"36","amy klobuchar",2019-10-06,7,"US-PA"
"37","amy klobuchar",2019-10-13,26,"US-PA"
"38","amy klobuchar",2019-10-20,11,"US-PA"
"39","amy klobuchar",2019-10-27,9,"US-PA"
"40","amy klobuchar",2019-11-03,14,"US-PA"
"41","amy klobuchar",2019-02-03,18,"US-IA"
"42","amy klobuchar",2019-02-10,100,"US-IA"
"43","amy klobuchar",2019-02-17,46,"US-IA"
"44","amy klobuchar",2019-02-24,16,"US-IA"
"45","amy klobuchar",2019-03-03,6,"US-IA"
"46","amy klobuchar",2019-03-10,11,"US-IA"
"47","amy klobuchar",2019-03-17,14,"US-IA"
"48","amy klobuchar",2019-03-24,9,"US-IA"
"49","amy klobuchar",2019-03-31,6,"US-IA"
"50","amy klobuchar",2019-04-07,6,"US-IA"
"51","amy klobuchar",2019-04-14,10,"US-IA"
"52","amy klobuchar",2019-04-21,6,"US-IA"
"53","amy klobuchar",2019-04-28,13,"US-IA"
"54","amy klobuchar",2019-05-05,15,"US-IA"
"55","amy klobuchar",2019-05-12,0,"US-IA"
"56","amy klobuchar",2019-05-19,18,"US-IA"
"57","amy klobuchar",2019-05-26,15,"US-IA"
"58","amy klobuchar",2019-06-02,8,"US-IA"
"59","amy klobuchar",2019-06-09,0,"US-IA"
"60","amy klobuchar",2019-06-16,12,"US-IA"
"61","amy klobuchar",2019-06-23,13,"US-IA"
"62","amy klobuchar",2019-06-30,24,"US-IA"
"63","amy klobuchar",2019-07-07,12,"US-IA"
"64","amy klobuchar",2019-07-14,21,"US-IA"
"65","amy klobuchar",2019-07-21,9,"US-IA"
"66","amy klobuchar",2019-07-28,19,"US-IA"
"67","amy klobuchar",2019-08-04,21,"US-IA"
"68","amy klobuchar",2019-08-11,9,"US-IA"
"69","amy klobuchar",2019-08-18,8,"US-IA"
"70","amy klobuchar",2019-08-25,11,"US-IA"
"71","amy klobuchar",2019-09-01,11,"US-IA"
"72","amy klobuchar",2019-09-08,26,"US-IA"
"73","amy klobuchar",2019-09-15,12,"US-IA"
"74","amy klobuchar",2019-09-22,10,"US-IA"
"75","amy klobuchar",2019-09-29,20,"US-IA"
"76","amy klobuchar",2019-10-06,17,"US-IA"
"77","amy klobuchar",2019-10-13,32,"US-IA"
"78","amy klobuchar",2019-10-20,30,"US-IA"
"79","amy klobuchar",2019-10-27,25,"US-IA"
"80","amy klobuchar",2019-11-03,25,"US-IA"
"81","andrew yang",2019-02-03,2,"US-PA"
"82","andrew yang",2019-02-10,23,"US-PA"
"83","andrew yang",2019-02-17,17,"US-PA"
"84","andrew yang",2019-02-24,13,"US-PA"
"85","andrew yang",2019-03-03,22,"US-PA"
"86","andrew yang",2019-03-10,44,"US-PA"
"87","andrew yang",2019-03-17,34,"US-PA"
"88","andrew yang",2019-03-24,18,"US-PA"
"89","andrew yang",2019-03-31,16,"US-PA"
"90","andrew yang",2019-04-07,31,"US-PA"
"91","andrew yang",2019-04-14,21,"US-PA"
"92","andrew yang",2019-04-21,23,"US-PA"
"93","andrew yang",2019-04-28,18,"US-PA"
"94","andrew yang",2019-05-05,14,"US-PA"
"95","andrew yang",2019-05-12,19,"US-PA"
"96","andrew yang",2019-05-19,10,"US-PA"
"97","andrew yang",2019-05-26,8,"US-PA"
"98","andrew yang",2019-06-02,13,"US-PA"
"99","andrew yang",2019-06-09,15,"US-PA"
"100","andrew yang",2019-06-16,17,"US-PA"
"101","andrew yang",2019-06-23,90,"US-PA"
"102","andrew yang",2019-06-30,26,"US-PA"
"103","andrew yang",2019-07-07,17,"US-PA"
"104","andrew yang",2019-07-14,14,"US-PA"
"105","andrew yang",2019-07-21,12,"US-PA"
"106","andrew yang",2019-07-28,99,"US-PA"
"107","andrew yang",2019-08-04,52,"US-PA"
"108","andrew yang",2019-08-11,49,"US-PA"
"109","andrew yang",2019-08-18,30,"US-PA"
"110","andrew yang",2019-08-25,36,"US-PA"
"111","andrew yang",2019-09-01,36,"US-PA"
